,Make,Model,Variant,Ex-Showroom_Price,Drivetrain,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Length,Body_Type,Doors,ARAI_Certified_Mileage,Seating_Capacity,Type,Battery,Electric_Range
1202,Nissan,Kicks,Xv Premium (O) Dual Tone,"2,92,667",RWD ,BS 6,50 litres,Diesel,4384 mm,SUV,5,20.45 km/litre,5,Manual,,
1203,Nissan,Kicks,Xe Diesel,"2,92,667",RWD ,BS 6,50 litres,Diesel,4384 mm,SUV,5,20.45 km/litre,5,Manual,,
1204,Tata,Winger,15S,"Rs. 12,05,000",FWD ,BS 6,60 litres,Diesel,5458 mm,MUV,5,#REF!,16,Manual,,
1205,Hyundai,Kona Electric,Premium,"Rs. 23,71,858",FWD ,,,Electric,4180 mm,SUV,5,#REF!,4,Automatic,,462 km/full charge
1206,Toyota,Camry,Hybrid,"2,92,667",FWD ,BS IV,50 litres,Hybrid,4885 mm,Sedan,4,23.2 km/litre,5,Automatic,,
1207,Audi,A5,Sportback,"2,92,667",FWD ,BS IV,,Diesel,4733 mm,Sedan,4,19.2 km/litre,5,Automatic,,
1208,Land Rover,Discovery,3.0 Hse Diesel,"2,92,667",4WD,BS IV,85 litres,Diesel,4988 mm,SUV,5,18 km/litre,7,Automatic,,
1209,Land Rover,Discovery,3.0 Se Diesel,"2,92,667",4WD,BS IV,85 litres,Diesel,4988 mm,SUV,5,18 km/litre,7,Automatic,,
1210,Land Rover,Discovery,3.0 Hse Petrol,"2,92,667",4WD,BS IV,89 litres,Petrol,4988 mm,SUV,5,9.17 km/litre,7,Automatic,,
1211,Land Rover,Discovery,3.0 Se Petrol,"2,92,667",4WD,BS IV,89 litres,Petrol,4988 mm,SUV,5,9.17 km/litre,7,Automatic,,
1212,Land Rover,Discovery,3.0 S Diesel,"2,92,667",4WD,BS IV,85 litres,Diesel,4988 mm,SUV,5,18 km/litre,7,Automatic,,
1213,Land Rover,Discovery,3.0 S Petrol,"2,92,667",4WD,BS IV,89 litres,Petrol,4988 mm,SUV,5,9.17 km/litre,7,Automatic,,
1214,Land Rover,Discovery,3.0 Hse Luxury Diesel,"2,92,667",4WD,BS IV,85 litres,Diesel,4988 mm,SUV,5,18 km/litre,7,Automatic,,
