,Make,Model,Variant,Ex-Showroom_Price,Drivetrain,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Length,Body_Type,Doors,ARAI_Certified_Mileage,Seating_Capacity,Type,Battery,Electric_Range
55,Tata,Tiago,Revotron Xt,"2,92,667",FWD ,BS 6,35 litres,Petrol,3746 mm,Hatchback,5,23 km/litre,5,Manual,,
56,Tata,Tiago,Revotron Xz,"2,92,667",FWD ,BS 6,35 litres,Petrol,3746 mm,Hatchback,5,23 km/litre,5,Manual,,
57,Tata,Tiago,Revotron Xz Plus,"2,92,667",FWD ,BS 6,35 litres,Petrol,3746 mm,Hatchback,5,23 km/litre,5,Manual,,
58,Tata,Tiago,Revotron Xz Plus Dual Tone,"2,92,667",FWD ,BS 6,35 litres,Petrol,3746 mm,Hatchback,5,23 km/litre,5,Manual,,
59,Tata,Tiago,Revotron Xza,"2,92,667",FWD ,BS 6,35 litres,Petrol,3746 mm,Hatchback,5,24 km/litre,5,AMT,,
60,Tata,Tiago,Revotron Xza Plus,"2,92,667",FWD ,BS 6,35 litres,Petrol,3746 mm,Hatchback,5,24 km/litre,5,AMT,,
61,Tata,Tiago,Revotron Xza Plus Dual Tone,"2,92,667",FWD ,BS 6,35 litres,Petrol,3746 mm,Hatchback,5,24 km/litre,5,AMT,,
62,Maruti Suzuki,Celerio X,Vxi (O),"2,92,667",FWD ,BS IV,35 litres,Petrol,3600 mm,Hatchback,5,23.1 km/litre,5,Manual,,
63,Maruti Suzuki,Celerio X,Vxi,"2,92,667",FWD ,BS IV,35 litres,Petrol,3600 mm,Hatchback,5,23.1 km/litre,5,Manual,,
64,Maruti Suzuki,Celerio X,Vxi Amt,"2,92,667",FWD ,BS IV,35 litres,Petrol,3600 mm,Hatchback,5,23.1 km/litre,5,Automatic,,
65,Maruti Suzuki,Celerio X,Vxi Amt (O),"2,92,667",FWD ,BS IV,35 litres,Petrol,3600 mm,Hatchback,5,23.1 km/litre,5,Automatic,,
66,Maruti Suzuki,Celerio X,Zxi,"2,92,667",FWD ,BS IV,35 litres,Petrol,3600 mm,Hatchback,5,23.1 km/litre,5,Manual,,
67,Maruti Suzuki,Celerio X,Zxi (O),"2,92,667",FWD ,BS IV,35 litres,Petrol,3600 mm,Hatchback,5,23.1 km/litre,5,Manual,,
68,Maruti Suzuki,Celerio X,Zxi Amt,"2,92,667",FWD ,BS IV,35 litres,Petrol,3600 mm,Hatchback,5,23.1 km/litre,5,Automatic,,
69,Maruti Suzuki,Celerio X,Zxi Amt (O),"2,92,667",FWD ,BS IV,35 litres,Petrol,3600 mm,Hatchback,5,23.1 km/litre,5,Automatic,,
70,Maruti Suzuki,Ignis,Alpha 1.2 Amt,"2,92,667",FWD ,BS IV,32 litres,Petrol,3700 mm,Hatchback,5,20.89 km/litre,5,AMT,,
71,Maruti Suzuki,Ignis,Alpha 1.2 Mt,"2,92,667",FWD ,BS IV,32 litres,Petrol,3700 mm,Hatchback,5,20.89 km/litre,5,Manual,,
72,Maruti Suzuki,Ignis,Delta 1.2 Amt,"2,92,667",FWD ,BS IV,32 litres,Petrol,3700 mm,Hatchback,5,20.89 km/litre,5,AMT,,
73,Maruti Suzuki,Ignis,Delta 1.2 Mt,"2,92,667",FWD ,BS IV,32 litres,Petrol,3700 mm,Hatchback,5,20.89 km/litre,5,Manual,,
74,Maruti Suzuki,Ignis,Sigma 1.2 Mt,"2,92,667",FWD ,BS IV,32 litres,Petrol,3700 mm,Hatchback,5,20.89 km/litre,5,Manual,,
75,Maruti Suzuki,Ignis,Zeta 1.2 Amt,"2,92,667",FWD ,BS IV,32 litres,Petrol,3700 mm,Hatchback,5,20.89 km/litre,5,AMT,,
76,Maruti Suzuki,Ignis,Zeta 1.2 Mt,"2,92,667",FWD ,BS IV,32 litres,Petrol,3700 mm,Hatchback,5,20.89 km/litre,5,Manual,,
77,Renault,Triber,Rxe,"2,92,667",FWD ,BS 6,40 litres,Petrol,3990 mm,MUV,5,20.5 km/litre,7,Manual,,
78,Renault,Triber,Rxl,"2,92,667",FWD ,BS 6,40 litres,Petrol,3990 mm,MUV,5,20.5 km/litre,7,Manual,,
79,Renault,Triber,Rxt,"2,92,667",FWD ,BS 6,40 litres,Petrol,3990 mm,MUV,5,20.5 km/litre,7,Manual,,
80,Renault,Triber,Rxz,"2,92,667",FWD ,BS 6,40 litres,Petrol,3990 mm,MUV,5,20.5 km/litre,7,Manual,,
81,Premier,Rio,Gx,"2,92,667",FWD ,BS IV,46 litres,Petrol,3970 mm,SUV,5,16 km/litre,5,Manual,,
82,Premier,Rio,Ex,"2,92,667",FWD ,BS IV,46 litres,Diesel,3970 mm,SUV,5,16 km/litre,5,Manual,,
83,Premier,Rio,Glx,"2,92,667",FWD ,BS IV,46 litres,Petrol,3970 mm,SUV,5,16 km/litre,5,Manual,,
84,Premier,Rio,Dx,"2,92,667",FWD ,BS IV,46 litres,Diesel,3970 mm,SUV,5,16 km/litre,5,Manual,,
85,Premier,Rio,Lx,"2,92,667",FWD ,BS IV,46 litres,Diesel,3970 mm,SUV,5,16 km/litre,5,Manual,,
86,Premier,Rio,Crdi4,"2,92,667",FWD ,BS IV,46 litres,Diesel,3970 mm,SUV,5,23.7 km/litre,5,Manual,,
87,Toyota,Etios Liva,G,"2,92,667",FWD ,BS IV,45 litres,Petrol,3884 mm,Hatchback,5,18.16 km/litre,5,Manual,,
88,Toyota,Etios Liva,V,"2,92,667",FWD ,BS IV,45 litres,Petrol,3884 mm,Hatchback,5,18.16 km/litre,5,Manual,,
89,Toyota,Etios Liva,Gd,"2,92,667",FWD ,BS IV,45 litres,Diesel,3884 mm,Hatchback,5,23.59 km/litre,5,Manual,,
90,Toyota,Etios Liva,Vx,"2,92,667",FWD ,BS IV,45 litres,Petrol,3884 mm,Hatchback,5,18.16 km/litre,5,Manual,,
91,Toyota,Etios Liva,Vxd,"2,92,667",FWD ,BS IV,45 litres,Diesel,3884 mm,Hatchback,5,23.59 km/litre,5,Manual,,
92,Toyota,Etios Liva,Vd,"2,92,667",FWD ,BS IV,45 litres,Diesel,3884 mm,Hatchback,5,23.59 km/litre,5,Manual,,
93,Toyota,Etios Liva,Dual Tone V,"2,92,667",FWD ,BS IV,45 litres,Petrol,3884 mm,Hatchback,5,18.16 km/litre,5,Manual,,
94,Toyota,Etios Liva,Dual Tone Vd,"2,92,667",FWD ,BS IV,45 litres,Diesel,3884 mm,Hatchback,5,23.59 km/litre,5,Manual,,
95,Toyota,Etios Liva,Dual Tone Vx,"2,92,667",FWD ,BS IV,45 litres,Petrol,3884 mm,Hatchback,5,18.16 km/litre,5,Manual,,
96,Toyota,Etios Liva,Dual Tone Vxd,"2,92,667",FWD ,BS IV,45 litres,Diesel,3884 mm,Hatchback,5,23.59 km/litre,5,Manual,,
97,Toyota,Etios Liva,Gx,"2,92,667",FWD ,BS IV,45 litres,Petrol,3884 mm,Hatchback,5,18.16 km/litre,5,Manual,,
98,Toyota,Etios Liva,Gxd,"2,92,667",FWD ,BS IV,45 litres,Diesel,3884 mm,Hatchback,5,23.59 km/litre,5,Manual,,
99,Toyota,Etios Liva,Vx Dual Tone Limited Edition,"2,92,667",FWD ,BS IV,45 litres,Petrol,3884 mm,Hatchback,5,18.16 km/litre,5,Manual,,
100,Toyota,Etios Liva,Vxd Dual Tone Limited Edition,"2,92,667",FWD ,BS IV,45 litres,Diesel,3884 mm,Hatchback,5,23.59 km/litre,5,Manual,,
101,Nissan,Micra Active,Xl,"2,92,667",FWD ,BS IV,41 litres,Petrol,3801 mm,Hatchback,5,18.97 km/litre,5,Manual,,
102,Nissan,Micra Active,Xv,"2,92,667",FWD ,BS IV,41 litres,Petrol,3801 mm,Hatchback,5,19.49 km/litre,5,Manual,,
103,Nissan,Micra Active,Xl (O),"2,92,667",FWD ,BS IV,41 litres,Petrol,3801 mm,Hatchback,5,18.97 km/litre,5,Manual,,
104,Tata,Bolt,Xt Diesel,"2,92,667",FWD ,BS IV,44 litres,Diesel,3825 mm,Hatchback,5,22.95 km/litre,5,Manual,,
105,Tata,Bolt,Xe Diesel,"2,92,667",FWD ,BS IV,44 litres,Diesel,3825 mm,Hatchback,5,22.95 km/litre,5,Manual,,
106,Tata,Bolt,Xm Diesel,"2,92,667",FWD ,BS IV,44 litres,Diesel,3825 mm,Hatchback,5,22.95 km/litre,5,Manual,,
107,Tata,Bolt,Xms Diesel,"2,92,667",FWD ,BS IV,44 litres,Diesel,3825 mm,Hatchback,5,22.95 km/litre,5,Manual,,
108,Tata,Bolt,Xt Petrol,"2,92,667",FWD ,BS IV,44 litres,Petrol,3825 mm,Hatchback,5,17.57 km/litre,5,Manual,,
109,Tata,Bolt,Xe Petrol,"2,92,667",FWD ,BS IV,44 litres,Petrol,3825 mm,Hatchback,5,17.57 km/litre,5,Manual,,
110,Tata,Bolt,Xm Petrol,"2,92,667",FWD ,BS IV,44 litres,Petrol,3825 mm,Hatchback,5,17.57 km/litre,5,Manual,,
111,Tata,Bolt,Xms Petrol,"2,92,667",FWD ,BS IV,44 litres,Petrol,3825 mm,Hatchback,5,17.57 km/litre,5,Manual,,
112,Hyundai,Xcent Prime,Cng T + (Cng +,"Rs. 5,56,130",FWD ,BS IV,43 litres,CNG + Petrol,3995 mm,Sedan,4,#REF!,5,Manual,,
113,Hyundai,Xcent Prime,T,"2,92,667",FWD ,BS IV,43 litres,Petrol,3995 mm,Sedan,4,15.7 km/litre,5,Manual,,
114,Hyundai,Xcent Prime,T+,"Rs. 5,56,130",FWD ,BS IV,43 litres,Petrol,3995 mm,Sedan,4,#REF!,5,Manual,,
115,Hyundai,Xcent Prime,Cng T (Cng +,"Rs. 5,36,859",FWD ,BS IV,43 litres,CNG + Petrol,3995 mm,Sedan,4,#REF!,5,Manual,,
116,Hyundai,Xcent Prime,T+ Crdi,"2,92,667",FWD ,BS IV,43 litres,Diesel,3995 mm,Sedan,4,20.14 km/litre,5,Manual,,
117,Hyundai,Xcent Prime,T Crdi,"2,92,667",FWD ,BS IV,43 litres,Diesel,3995 mm,Sedan,4,20 km/litre,5,Manual,,
118,Maruti Suzuki,Dzire Tour,Ldi,"2,92,667",FWD ,BS IV,42 litres,Diesel,3995 mm,Sedan,4,28.4 km/litre,5,Manual,,
119,Maruti Suzuki,Dzire Tour,Lxi,"2,92,667",FWD ,BS IV,42 litres,Petrol,3995 mm,Sedan,4,22 km/litre,5,Manual,,
120,Maruti Suzuki,Dzire Tour,Lxi Cng,"Rs. 5,98,940",FWD ,BS IV,42 litres,CNG,3995 mm,Sedan,4,#REF!,5,Manual,,
121,Hyundai,Elite I20,Era 1.2,"2,92,667",FWD ,BS IV,45 litres,Petrol,3995 mm,Hatchback,5,18.6 km/litre,5,Manual,,
122,Hyundai,Elite I20,Era 1.4 Crdi,"2,92,667",FWD ,BS IV,45 litres,Diesel,3985 mm,Hatchback,5,22.54 km/litre,5,Manual,,
123,Hyundai,Elite I20,Magna Plus,"2,92,667",FWD ,BS IV,45 litres,Petrol,3985 mm,Hatchback,5,18.6 km/litre,5,Manual,,
124,Hyundai,Elite I20,Magna Plus Crdi,"2,92,667",FWD ,BS IV,45 litres,Diesel,3985 mm,Hatchback,5,22.54 km/litre,5,Manual,,
125,Hyundai,Elite I20,Sportz Plus,"2,92,667",FWD ,BS IV,45 litres,Petrol,3985 mm,Hatchback,5,18.6 km/litre,5,Manual,,
126,Hyundai,Elite I20,Sportz Plus Crdi Dual Tone,"2,92,667",FWD ,BS IV,45 litres,Diesel,3985 mm,Hatchback,5,22.54 km/litre,5,Manual,,
127,Hyundai,Elite I20,Asta (O) 1.2,"2,92,667",FWD ,BS IV,45 litres,Petrol,3995 mm,Hatchback,5,18.15 km/litre,5,Manual,,
128,Hyundai,Elite I20,Asta (O) Crdi,"2,92,667",FWD ,BS IV,45 litres,Diesel,3985 mm,Hatchback,5,22.54 km/litre,5,Manual,,
129,Hyundai,Elite I20,Asta (O) Cvt,"2,92,667",FWD ,BS IV,45 litres,Petrol,3985 mm,Hatchback,5,18.6 km/litre,5,Automatic,,
130,Hyundai,Elite I20,Sportz Plus Dual Tone,"2,92,667",FWD ,BS IV,45 litres,Petrol,3985 mm,Hatchback,5,18.6 km/litre,5,Manual,,
131,Hyundai,Elite I20,Sportz Plus Cvt,"2,92,667",FWD ,BS IV,45 litres,Petrol,3985 mm,Hatchback,5,18.6 km/litre,5,Manual,,
132,Hyundai,Elite I20,Sportz Plus Crdi,"2,92,667",FWD ,BS IV,45 litres,Diesel,3985 mm,Hatchback,5,22.54 km/litre,5,Manual,,
133,Hyundai,Aura,E 1.2 Petrol,"2,92,667",FWD ,BS 6,37 litres,Petrol,3995 mm,Sedan,5,20.5 km/litre,5,Manual,,
134,Hyundai,Aura,S 1.2 Petrol,"2,92,667",FWD ,BS 6,37 litres,Petrol,3995 mm,Sedan,5,20.5 km/litre,5,Manual,,
135,Hyundai,Aura,S 1.2 Amt Petrol,"2,92,667",FWD ,BS 6,37 litres,Petrol,3995 mm,Sedan,5,20.1 km/litre,5,Automatic,,
136,Hyundai,Aura,Sx 1.2 Petrol,"2,92,667",FWD ,BS 6,37 litres,Petrol,3995 mm,Sedan,5,20.5 km/litre,5,Manual,,
137,Hyundai,Aura,Sx Plus 1.2 Amt Petrol,"2,92,667",FWD ,BS 6,37 litres,Petrol,3995 mm,Sedan,5,20.1 km/litre,5,Automatic,,
138,Hyundai,Aura,Sx (O) 1.2 Petrol,"2,92,667",FWD ,BS 6,37 litres,Petrol,3995 mm,Sedan,5,20.5 km/litre,5,Manual,,
139,Hyundai,Aura,S 1.2 Cng Petrol (Cng +,"2,92,667",FWD ,BS 6,37 litres,CNG + Petrol,3995 mm,Sedan,5,20.5 km/litre,5,Manual,,
140,Hyundai,Aura,Sx Plus 1.0 Petrol,"2,92,667",FWD ,BS 6,37 litres,Petrol,3995 mm,Sedan,5,20.5 km/litre,5,Manual,,
141,Hyundai,Aura,S 1.2 Diesel,"2,92,667",FWD ,BS 6,37 litres,Diesel,3995 mm,Sedan,5,25.35 km/litre,5,Manual,,
142,Hyundai,Aura,S 1.2 Amt Diesel,"2,92,667",FWD ,BS 6,37 litres,Diesel,3995 mm,Sedan,5,20.4 km/litre,5,Automatic,,
143,Hyundai,Aura,Sx Plus 1.2 Amt Diesel,"2,92,667",FWD ,BS 6,37 litres,Diesel,3995 mm,Sedan,5,25.4 km/litre,5,Automatic,,
144,Hyundai,Aura,Sx (O) 1.2 Diesel,"2,92,667",FWD ,BS 6,37 litres,Diesel,3995 mm,Sedan,5,25.35 km/litre,5,Manual,,
145,Volkswagen,Polo,Trendline 1.0L (P),"2,92,667",FWD ,BS IV,45 litres,Petrol,3971 mm,Hatchback,5,18.78 km/litre,5,Manual,,
146,Volkswagen,Polo,Comfortline 1.0 (P),"2,92,667",FWD ,BS IV,45 litres,Petrol,3971 mm,Hatchback,5,18.78 km/litre,5,Manual,,
147,Volkswagen,Polo,Highline Plus 1.0 (P),"2,92,667",FWD ,BS IV,45 litres,Petrol,3971 mm,Hatchback,5,18.78 km/litre,5,Manual,,
148,Volkswagen,Polo,Trendline 1.5L (D),"2,92,667",FWD ,BS IV,45 litres,Diesel,3971 mm,Hatchback,5,20.14 km/litre,5,Manual,,
149,Volkswagen,Polo,Comfortline 1.5 (D),"2,92,667",FWD ,BS IV,45 litres,Diesel,3971 mm,Hatchback,5,20.14 km/litre,5,Manual,,
150,Volkswagen,Polo,Highline Plus 1.5 (D),"2,92,667",FWD ,BS IV,45 litres,Diesel,3971 mm,Hatchback,5,20.14 km/litre,5,Manual,,
151,Volkswagen,Polo,Gt Tsi,"2,92,667",FWD ,BS IV,45 litres,Petrol,3971 mm,Hatchback,5,17.21 km/litre,5,Automatic,,
152,Volkswagen,Polo,Gt Tdi,"2,92,667",FWD ,BS IV,45 litres,Diesel,3971 mm,Hatchback,5,19.91 km/litre,5,Manual,,
153,Maruti Suzuki,Dzire,Lxi,"2,92,667",FWD ,BS IV,37 litres,Petrol,3995 mm,Sedan,4,22 km/litre,5,Manual,,
154,Maruti Suzuki,Dzire,Vxi,"2,92,667",FWD ,BS IV,37 litres,Petrol,3995 mm,Sedan,4,22 km/litre,5,Manual,,
155,Maruti Suzuki,Dzire,Ldi,"2,92,667",FWD ,BS IV,37 litres,Diesel,3995 mm,Sedan,4,28.4 km/litre,5,Manual,,
156,Maruti Suzuki,Dzire,Zxi,"2,92,667",FWD ,BS IV,37 litres,Petrol,3995 mm,Sedan,4,22 km/litre,5,Manual,,
157,Maruti Suzuki,Dzire,Vdi,"2,92,667",FWD ,BS IV,37 litres,Diesel,3995 mm,Sedan,4,28.4 km/litre,5,Manual,,
158,Maruti Suzuki,Dzire,Vxi Amt,"2,92,667",FWD ,BS IV,37 litres,Petrol,3995 mm,Sedan,4,22 km/litre,5,Automatic,,
159,Maruti Suzuki,Dzire,Zdi Amt,"2,92,667",FWD ,BS IV,37 litres,Diesel,3995 mm,Sedan,4,28.4 km/litre,5,Automatic,,
160,Maruti Suzuki,Dzire,Zdi,"2,92,667",FWD ,BS IV,37 litres,Diesel,3995 mm,Sedan,4,28.4 km/litre,5,Manual,,
161,Maruti Suzuki,Dzire,Zxi Plus,"2,92,667",FWD ,BS IV,37 litres,Petrol,3995 mm,Sedan,4,22 km/litre,5,Manual,,
162,Maruti Suzuki,Dzire,Zxi At,"2,92,667",FWD ,BS IV,37 litres,Petrol,3995 mm,Sedan,4,22 km/litre,5,Automatic,,
163,Maruti Suzuki,Dzire,Zxi Plus Amt,"2,92,667",FWD ,BS IV,37 litres,Petrol,3995 mm,Sedan,4,22 km/litre,5,Automatic,,
164,Maruti Suzuki,Dzire,Zdi Plus,"2,92,667",FWD ,BS IV,37 litres,Diesel,3995 mm,Sedan,4,28.4 km/litre,5,Manual,,
165,Maruti Suzuki,Dzire,Vdi Amt,"2,92,667",FWD ,BS IV,37 litres,Diesel,3995 mm,Sedan,4,28.4 km/litre,5,Automatic,,
166,Maruti Suzuki,Dzire,Zdi Plus Amt,"2,92,667",FWD ,BS IV,37 litres,Diesel,3995 mm,Sedan,4,28.4 km/litre,5,Automatic,,
167,Ford,Freestyle,1.5L Tdci Ambiente,"2,92,667",FWD ,BS IV,40 litres,Diesel,3954 mm,Crossover,5,24.4 km/litre,5,Manual,,
168,Ford,Freestyle,1.5L Tdci Titanium,"2,92,667",FWD ,BS IV,40 litres,Diesel,3954 mm,Hatchback,5,24.4 km/litre,5,Manual,,
169,Ford,Freestyle,1.5L Tdci Titanium Plus,"2,92,667",FWD ,BS IV,40 litres,Diesel,3954 mm,Hatchback,5,24.4 km/litre,5,Manual,,
170,Ford,Freestyle,1.2L Ti-Vct Ambiente,"2,92,667",FWD ,BS IV,42 litres,Petrol,3954 mm,Hatchback,5,19 km/litre,5,Manual,,
171,Ford,Freestyle,1.2L Ti-Vct Titanium,"2,92,667",FWD ,BS IV,42 litres,Petrol,3954 mm,Hatchback,5,19 km/litre,5,Manual,,
172,Ford,Freestyle,1.2L Ti-Vct Titanium Plus,"2,92,667",FWD ,BS IV,42 litres,Petrol,3954 mm,Hatchback,5,19 km/litre,5,Manual,,
173,Ford,Freestyle,1.2L Ti-Vct Trend Plus,"2,92,667",FWD ,BS IV,42 litres,Petrol,3954 mm,Crossover,5,19 km/litre,5,Manual,,
174,Ford,Freestyle,1.5L Tdci Trend Plus,"2,92,667",FWD ,BS IV,42 litres,Diesel,3954 mm,Crossover,5,24.4 km/litre,5,Manual,,
175,Volkswagen,Ameo,Trendline 1.5L Tdi,"2,92,667",FWD ,BS IV,45 litres,Diesel,3995 mm,Sedan,4,21.66 km/litre,5,Manual,,
176,Volkswagen,Ameo,Comfortline 1.5L Tdi,"2,92,667",FWD ,BS IV,45 litres,Diesel,3995 mm,Sedan,4,21.66 km/litre,5,Manual,,
177,Volkswagen,Ameo,Highline Plus 1.5L Tdi Dsg,"2,92,667",FWD ,BS IV,45 litres,Diesel,3995 mm,Sedan,4,21.73 km/litre,5,Automatic,,
178,Volkswagen,Ameo,Highline Plus 1.5L Tdi,"2,92,667",FWD ,BS IV,45 litres,Diesel,3995 mm,Sedan,4,21.66 km/litre,5,Manual,,
179,Volkswagen,Ameo,Trendline 1.0L,"2,92,667",FWD ,BS IV,45 litres,Petrol,3995 mm,Sedan,4,19 km/litre,5,Manual,,
180,Volkswagen,Ameo,Comfortline 1.0L,"2,92,667",FWD ,BS IV,45 litres,Petrol,3995 mm,Sedan,4,19 km/litre,5,Manual,,
181,Volkswagen,Ameo,Highline Plus 1.0L,"2,92,667",FWD ,BS IV,45 litres,Petrol,3995 mm,Sedan,4,19 km/litre,5,Manual,,
182,Volkswagen,Ameo,Gt Line Tdi Dsg,"2,92,667",FWD ,BS IV,45 litres,Diesel,3995 mm,Sedan,4,21.73 km/litre,5,Automatic,,
183,Ford,Aspire,1.2 Ti-Vct Ambiente,"2,92,667",FWD ,BS IV,42 litres,Petrol,3995 mm,Sedan,4,20.4 km/litre,5,Manual,,
184,Ford,Aspire,1.2 Ti-Vct Trend Plus,"2,92,667",FWD ,BS IV,42 litres,Petrol,3995 mm,Sedan,4,20.4 km/litre,5,Manual,,
185,Ford,Aspire,1.2 Ti-Vct Trend,"2,92,667",FWD ,BS IV,42 litres,Petrol,3995 mm,Sedan,4,20.4 km/litre,5,Manual,,
186,Ford,Aspire,1.5 Tdci Ambiente,"2,92,667",FWD ,BS IV,40 litres,Diesel,3995 mm,Sedan,4,26.1 km/litre,5,Manual,,
187,Ford,Aspire,1.5 Tdci Trend,"2,92,667",FWD ,BS IV,40 litres,Diesel,3995 mm,Sedan,4,26.1 km/litre,5,Manual,,
188,Ford,Aspire,1.5 Tdci Trend Plus,"2,92,667",FWD ,BS IV,40 litres,Diesel,3995 mm,Sedan,4,26.1 km/litre,5,Manual,,
189,Ford,Aspire,1.5 Tdci Titanium,"2,92,667",FWD ,BS IV,40 litres,Diesel,3995 mm,Sedan,4,26.1 km/litre,5,Manual,,
190,Ford,Aspire,1.5 Tdci Titanium Plus,"2,92,667",FWD ,BS IV,40 litres,Diesel,3995 mm,Sedan,4,26.1 km/litre,5,Manual,,
191,Ford,Aspire,1.2 Ti-Vct Titanium Plus,"2,92,667",FWD ,BS IV,42 litres,Petrol,3995 mm,Sedan,4,19.4 km/litre,5,Manual,,
192,Ford,Aspire,1.2 Ti-Vct Titanium,"2,92,667",FWD ,BS IV,42 litres,Petrol,3995 mm,Sedan,4,19.4 km/litre,5,Manual,,
193,Ford,Aspire,1.2 Trend Plus Cng,"Rs. 7,58,314",FWD ,BS IV,42 litres,CNG,3995 mm,Sedan,4,#REF!,5,Manual,,
194,Ford,Aspire,1.2 Ti-Vct Blu,"2,92,667",FWD ,BS IV,42 litres,Petrol,3995 mm,Sedan,4,19.4 km/litre,5,Manual,,
195,Ford,Aspire,1.5 Tdci Blu,"2,92,667",FWD ,BS IV,40 litres,Diesel,3995 mm,Sedan,4,26.1 km/litre,5,Manual,,
196,Toyota,Platinum Etios,G,"2,92,667",FWD ,BS IV,45 litres,Petrol,4369 mm,Sedan,4,16.78 km/litre,5,Manual,,
197,Toyota,Platinum Etios,V,"2,92,667",FWD ,BS IV,45 litres,Petrol,4369 mm,Sedan,4,16.78 km/litre,5,Manual,,
198,Toyota,Platinum Etios,Gd,"2,92,667",FWD ,BS IV,45 litres,Diesel,4369 mm,Sedan,4,23.59 km/litre,5,Manual,,
199,Toyota,Platinum Etios,Vd,"2,92,667",FWD ,BS IV,45 litres,Diesel,4369 mm,Sedan,4,23.59 km/litre,5,Manual,,
200,Toyota,Platinum Etios,Vxd,"2,92,667",FWD ,BS IV,45 litres,Diesel,4369 mm,Sedan,4,23.59 km/litre,5,Manual,,
201,Toyota,Platinum Etios,Vx,"2,92,667",FWD ,BS IV,45 litres,Petrol,4369 mm,Sedan,4,16.78 km/litre,5,Manual,,
202,Toyota,Platinum Etios,Gx,"2,92,667",FWD ,BS IV,45 litres,Petrol,4369 mm,Sedan,4,16.78 km/litre,5,Manual,,
203,Toyota,Platinum Etios,Gxd,"2,92,667",FWD ,BS IV,45 litres,Diesel,4369 mm,Sedan,4,23.59 km/litre,5,Manual,,
204,Toyota,Platinum Etios,Vxd Limited Edition,"2,92,667",FWD ,BS IV,45 litres,Diesel,4369 mm,Sedan,4,23.59 km/litre,5,Manual,,
205,Toyota,Platinum Etios,Vx Limited Edition,"2,92,667",FWD ,BS IV,45 litres,Petrol,4369 mm,Sedan,4,16.78 km/litre,5,Manual,,
206,Toyota,Etios Cross,V,"2,92,667",FWD ,BS IV,45 litres,Petrol,3895 mm,Hatchback,5,16.78 km/litre,5,Manual,,
207,Toyota,Etios Cross,G,"2,92,667",FWD ,BS IV,45 litres,Petrol,3895 mm,Hatchback,5,17.71 km/litre,5,Manual,,
208,Toyota,Etios Cross,Vd,"2,92,667",FWD ,BS IV,45 litres,Diesel,3895 mm,Hatchback,5,23.59 km/litre,5,Manual,,
209,Toyota,Etios Cross,Gd,"2,92,667",FWD ,BS IV,45 litres,Diesel,3895 mm,Hatchback,5,23.59 km/litre,5,Manual,,
210,Toyota,Etios Cross,1.2 X Edition,"2,92,667",FWD ,BS IV,45 litres,Petrol,3895 mm,Hatchback,5,17.71 km/litre,5,Manual,,
211,Toyota,Etios Cross,1.4 X Edition,"2,92,667",FWD ,BS IV,45 litres,Diesel,3895 mm,Hatchback,5,23.59 km/litre,5,Manual,,
212,Mahindra,Verito Vibe,D2,"2,92,667",FWD ,BS IV,50 litres,Diesel,3991 mm,Hatchback,5,20.08 km/litre,5,Manual,,
213,Mahindra,Verito Vibe,D4,"2,92,667",FWD ,BS IV,50 litres,Diesel,3991 mm,Hatchback,5,20.08 km/litre,5,Manual,,
214,Mahindra,Verito Vibe,D6,"2,92,667",FWD ,BS IV,50 litres,Diesel,3991 mm,Hatchback,5,20.08 km/litre,5,Manual,,
215,Fiat,Urban Cross,1.3 Multijet Active,"2,92,667",FWD ,BS IV,45 litres,Diesel,3989 mm,Crossover,5,20 km/litre,5,Manual,,
216,Fiat,Urban Cross,1.3 Multijet Dynamic,"2,92,667",FWD ,BS IV,45 litres,Diesel,3989 mm,Crossover,5,20 km/litre,5,Manual,,
217,Fiat,Urban Cross,1.4 T-Jet Emotion,"2,92,667",FWD ,BS IV,45 litres,Petrol,3989 mm,Crossover,5,17.1 km/litre,5,Manual,,
218,Fiat,Urban Cross,1.3 Multijet Emotion,"2,92,667",FWD ,BS IV,45 litres,Diesel,3989 mm,Crossover,5,20 km/litre,5,Manual,,
219,Toyota,Glanza,G Hybrid,"2,92,667",FWD ,BS 6,37 litres,Petrol,3995 mm,Hatchback,5,23.87 km/litre,5,Manual,,
220,Toyota,Glanza,V,"2,92,667",FWD ,BS 6,37 litres,Petrol,3995 mm,Hatchback,5,21.01 km/litre,5,Manual,,
221,Toyota,Glanza,G Cvt,"2,92,667",FWD ,BS 6,37 litres,Petrol,3995 mm,Hatchback,5,19.56 km/litre,5,CVT,,
222,Toyota,Glanza,V Cvt,"2,92,667",FWD ,BS 6,37 litres,Petrol,3995 mm,Hatchback,5,19.56 km/litre,5,CVT,,
223,Toyota,Glanza,G Mt,"2,92,667",FWD ,BS 6,37 litres,Petrol,3995 mm,Hatchback,5,19.56 km/litre,5,Manual,,
224,Fiat,Avventura,Multijet Dynamic,"2,92,667",FWD ,BS IV,45 litres,Diesel,3989 mm,Crossover,5,20.5 km/litre,5,Manual,,
225,Fiat,Avventura,Multijet Active,"2,92,667",FWD ,BS IV,45 litres,Diesel,3989 mm,Crossover,5,20.5 km/litre,5,Manual,,
226,Fiat,Avventura,Multijet Emotion,"2,92,667",FWD ,BS IV,45 litres,Diesel,3989 mm,Crossover,5,20.5 km/litre,5,Manual,,
